candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
CHRISTOPHER BEILER,COUNCIL,AKRON BOROUGH,,Municipal Primary,5,16,2023,DEM,challenger,requested and no records on file,,,CHRISTOPHER,,BEILER,,COUNCIL AKRON,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/119.html"
CHRISTY KRASSENSTEIN,SUPERVISOR,LITTLE BRITAIN TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,CHRISTY,,KRASSENSTEIN,,SUPERVISOR LITTLE BRITAIN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/360.html"
COLE F KNIGHTON,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,COLE,F,KNIGHTON,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/57.html"
COLE F KNIGHTON,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,COLE,F,KNIGHTON,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/58.html"
COURTNEY MONSON,MAGISTERIAL DISTRICT JUDGE,,02-01-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,COURTNEY,,MONSON,,MAGISTERIAL DISTRICT JUDGE 02-1-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/29.html"
COURTNEY MONSON,MAGISTERIAL DISTRICT JUDGE,,02-01-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,COURTNEY,,MONSON,,MAGISTERIAL DISTRICT JUDGE 02-1-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/30.html"
COURTNEY RICHIE,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 13 candidates, 5 Republicans and 8 cross-filers 
- Kimberly Regennas, Scott Landis, and Bill Brault were all considered to replace Millard Eppig Jr after his resignation in 2022
- Landis was eventually appointed in 2022",,COURTNEY,,RICHIE,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
COURTNEY RICHIE,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 13 candidates, 5 Republicans and 8 cross-filers 
- Kimberly Regennas, Scott Landis, and Bill Brault were all considered to replace Millard Eppig Jr after his resignation in 2022
- Landis was eventually appointed in 2022",,COURTNEY,,RICHIE,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
CYNDI DELONG,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Two two-year seats were open 
- Two spots per party 
- 4 candidates cross-filed 
- 2 candidates running as Republican 
- Lisa Miller is the only incumbent 
- Dick Hall and Cyndi Delong were endorsed by the Democratic Party 
- Angie Lingo and Amy Martin were endorsed by the Republican Party 
- Hall and Long won the Democratic nomination 
- Martin and Lingo won the Republican nomination ","Candidate sponsored by MCC ""Support Warwick Schools""",CYNDI,,DELONG,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/107.html"
CYNDI DELONG,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Two two-year seats were open 
- Two spots per party 
- 4 candidates cross-filed 
- 2 candidates running as Republican 
- Lisa Miller is the only incumbent 
- Dick Hall and Cyndi Delong were endorsed by the Democratic Party 
- Angie Lingo and Amy Martin were endorsed by the Republican Party 
- Hall and Long won the Democratic nomination 
- Martin and Lingo won the Republican nomination ","Candidate sponsored by MCC ""Support Warwick Schools""",CYNDI,,DELONG,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/108.html"
